,Country,Year,Energy
254,Other Southern Africa,1967,0.01
255,Australia,1967,1.70
256,Bangladesh,1967,-
257,China,1967,5.40
258,China Hong Kong SAR,1967,0.12
259,India,1967,2.37
260,Indonesia,1967,0.30
261,Japan,1967,8.30
262,Malaysia,1967,0.15
263,New Zealand,1967,0.33
264,Pakistan,1967,0.33
265,Philippines,1967,0.24
266,Singapore,1967,0.24
267,South Korea,1967,0.38
268,Sri Lanka,1967,0.04
269,Taiwan,1967,0.30
270,Thailand,1967,0.15
271,Vietnam,1967,0.26
272,Other Asia Pacific,1967,0.83
273,Canada,1968,5.92
274,Mexico,1968,1.24
275,United States of America,1968,60.19
276,Argentina,1968,1.30
277,Brazil,1968,1.27
278,Chile,1968,0.29
279,Colombia,1968,0.39
280,Ecuador,1968,0.04
281,Peru,1968,0.26
282,Trinidad & Tobago,1968,0.14
283,Venezuela,1968,0.79
284,Central America,1968,0.18
285,Other Caribbean,1968,0.87
286,Other South America,1968,0.17
287,Austria,1968,0.77
288,Belgium,1968,1.68
289,Bulgaria,1968,0.60
290,Croatia,1968,-
291,Cyprus,1968,0.02
292,Czech Republic,1968,1.75
293,Denmark,1968,0.72
294,Estonia,1968,-
295,Finland,1968,0.54
296,France,1968,5.42
297,Germany,1968,11.41
298,Greece,1968,0.36
299,Hungary,1968,0.67
300,Iceland,1968,0.03
301,Ireland,1968,0.34
302,Italy,1968,4.25
303,Latvia,1968,-
304,Lithuania,1968,-
305,Luxembourg,1968,0.15
306,Netherlands,1968,1.89
307,North Macedonia,1968,-
308,Norway,1968,0.95
309,Poland,1968,3.15
310,Portugal,1968,0.21
311,Romania,1968,1.27
312,Slovakia,1968,0.44
313,Slovenia,1968,-
314,Spain,1968,1.56
315,Sweden,1968,1.65
316,Switzerland,1968,0.79
317,Turkey,1968,0.46
318,Ukraine,1968,-
319,United Kingdom,1968,8.68
320,Other Europe,1968,0.78
321,Azerbaijan,1968,-
322,Belarus,1968,-
323,Kazakhstan,1968,-
324,Russian Federation,1968,-
325,Turkmenistan,1968,-
326,Uzbekistan,1968,-
327,Other CIS,1968,-
328,Iran,1968,0.46
329,Iraq,1968,0.10
330,Israel,1968,0.19
331,Kuwait,1968,0.32
332,Oman,1968,^
333,Qatar,1968,0.02
334,Saudi Arabia,1968,0.88
335,United Arab Emirates,1968,0.03
336,Other Middle East,1968,0.25
337,Algeria,1968,0.11
338,Egypt,1968,0.32
339,Morocco,1968,0.10
340,South Africa,1968,1.41
341,Eastern Africa,1968,0.46
342,Middle Africa,1968,0.15
343,Western Africa,1968,0.24
344,Other Northern Africa,1968,0.10
345,Other Southern Africa,1968,0.01
346,Australia,1968,1.81
347,Bangladesh,1968,-
348,China,1968,5.46
349,China Hong Kong SAR,1968,0.13
350,India,1968,2.53
351,Indonesia,1968,0.32
352,Japan,1968,9.25
353,Malaysia,1968,0.15
354,New Zealand,1968,0.34
355,Pakistan,1968,0.37
356,Philippines,1968,0.27
357,Singapore,1968,0.29
358,South Korea,1968,0.43
359,Sri Lanka,1968,0.04
360,Taiwan,1968,0.34
361,Thailand,1968,0.19
362,Vietnam,1968,0.26
363,Other Asia Pacific,1968,0.89
364,Canada,1969,6.28
365,Mexico,1969,1.36
366,United States of America,1969,63.30
367,Argentina,1969,1.34
368,Brazil,1969,1.39
369,Chile,1969,0.31
370,Colombia,1969,0.40
371,Ecuador,1969,0.04
372,Peru,1969,0.26
373,Trinidad & Tobago,1969,0.15
374,Venezuela,1969,0.80
375,Central America,1969,0.19
376,Other Caribbean,1969,0.89
377,Other South America,1969,0.18
378,Austria,1969,0.80
379,Belgium,1969,1.84
380,Bulgaria,1969,0.67
381,Croatia,1969,-
382,Cyprus,1969,0.03
383,Czech Republic,1969,1.82
384,Denmark,1969,0.82
385,Estonia,1969,-
386,Finland,1969,0.59
387,France,1969,5.98
388,Germany,1969,12.31
389,Greece,1969,0.38
390,Hungary,1969,0.72
391,Iceland,1969,0.03
392,Ireland,1969,0.35
393,Italy,1969,4.57
394,Latvia,1969,-
395,Lithuania,1969,-
396,Luxembourg,1969,0.17
397,Netherlands,1969,2.11
398,North Macedonia,1969,-
399,Norway,1969,0.96
400,Poland,1969,3.37
401,Portugal,1969,0.23
402,Romania,1969,1.46
403,Slovakia,1969,0.46
404,Slovenia,1969,-
405,Spain,1969,1.76
406,Sweden,1969,1.65
407,Switzerland,1969,0.82
408,Turkey,1969,0.50
409,Ukraine,1969,-
410,United Kingdom,1969,9.00
411,Other Europe,1969,0.84
412,Azerbaijan,1969,-
413,Belarus,1969,-
414,Kazakhstan,1969,-
415,Russian Federation,1969,-
416,Turkmenistan,1969,-
417,Uzbekistan,1969,-
418,Other CIS,1969,-
419,Iran,1969,0.51
420,Iraq,1969,0.11
421,Israel,1969,0.21
422,Kuwait,1969,0.33
423,Oman,1969,^
424,Qatar,1969,0.04
425,Saudi Arabia,1969,0.90
426,United Arab Emirates,1969,0.03
427,Other Middle East,1969,0.26
428,Algeria,1969,0.12
429,Egypt,1969,0.26
430,Morocco,1969,0.10
431,South Africa,1969,1.45
432,Eastern Africa,1969,0.49
433,Middle Africa,1969,0.15
434,Western Africa,1969,0.26
435,Other Northern Africa,1969,0.10
436,Other Southern Africa,1969,0.01
437,Australia,1969,1.88
438,Bangladesh,1969,-
439,China,1969,6.64
440,China Hong Kong SAR,1969,0.15
441,India,1969,2.81
442,Indonesia,1969,0.36
443,Japan,1969,10.54
444,Malaysia,1969,0.17
445,New Zealand,1969,0.34
446,Pakistan,1969,0.38
447,Philippines,1969,0.29
448,Singapore,1969,0.29
449,South Korea,1969,0.52
450,Sri Lanka,1969,0.04
451,Taiwan,1969,0.36
452,Thailand,1969,0.20
453,Vietnam,1969,0.31
454,Other Asia Pacific,1969,0.94
455,Canada,1970,6.73
456,Mexico,1970,1.45
457,United States of America,1970,65.54
458,Argentina,1970,1.27
459,Brazil,1970,1.61
460,Chile,1970,0.33
461,Colombia,1970,0.43
462,Ecuador,1970,0.05
463,Peru,1970,0.27
464,Trinidad & Tobago,1970,0.16
465,Venezuela,1970,0.81
466,Central America,1970,0.20
467,Other Caribbean,1970,1.02
468,Other South America,1970,0.19
469,Austria,1970,0.91
470,Belgium,1970,1.94
471,Bulgaria,1970,0.75
472,Croatia,1970,-
473,Cyprus,1970,0.03
474,Czech Republic,1970,1.90
475,Denmark,1970,0.87
476,Estonia,1970,-
477,Finland,1970,0.65
478,France,1970,6.49
479,Germany,1970,13.00
480,Greece,1970,0.42
481,Hungary,1970,0.77
482,Iceland,1970,0.04
483,Ireland,1970,0.27
484,Italy,1970,5.05
485,Latvia,1970,-
486,Lithuania,1970,-
487,Luxembourg,1970,0.17
488,Netherlands,1970,2.38
489,North Macedonia,1970,-
490,Norway,1970,1.00
491,Poland,1970,3.56
492,Portugal,1970,0.28
493,Romania,1970,1.56
494,Slovakia,1970,0.51
495,Slovenia,1970,-
496,Spain,1970,1.90
497,Sweden,1970,1.75
498,Switzerland,1970,0.90
499,Turkey,1970,0.53
500,Ukraine,1970,-
501,United Kingdom,1970,9.18
502,Other Europe,1970,0.92
503,Azerbaijan,1970,-
504,Belarus,1970,-
505,Kazakhstan,1970,-
506,Russian Federation,1970,-
507,Turkmenistan,1970,-
508,Uzbekistan,1970,-
509,Other CIS,1970,-
510,Iran,1970,0.60
511,Iraq,1970,0.14
512,Israel,1970,0.23
513,Kuwait,1970,0.26
514,Oman,1970,^
515,Qatar,1970,0.04
516,Saudi Arabia,1970,0.95
517,United Arab Emirates,1970,0.03
518,Other Middle East,1970,0.28
519,Algeria,1970,0.13
520,Egypt,1970,0.33
521,Morocco,1970,0.11
522,South Africa,1970,1.52
523,Eastern Africa,1970,0.55
524,Middle Africa,1970,0.16
525,Western Africa,1970,0.28
526,Other Northern Africa,1970,0.12
527,Other Southern Africa,1970,0.01
528,Australia,1970,2.05
529,Bangladesh,1970,-
530,China,1970,8.50
531,China Hong Kong SAR,1970,0.17
532,India,1970,2.75
533,Indonesia,1970,0.39
534,Japan,1970,11.78
535,Malaysia,1970,0.16
536,New Zealand,1970,0.38
537,Pakistan,1970,0.37
538,Philippines,1970,0.33
539,Singapore,1970,0.31
540,South Korea,1970,0.60
541,Sri Lanka,1970,0.07
542,Taiwan,1970,0.39
543,Thailand,1970,0.24
544,Vietnam,1970,0.33
545,Other Asia Pacific,1970,1.00
546,Canada,1971,6.94
547,Mexico,1971,1.53
548,United States of America,1971,66.92
549,Argentina,1971,1.35
550,Brazil,1971,1.76
551,Chile,1971,0.35
552,Colombia,1971,0.43
553,Ecuador,1971,0.06
554,Peru,1971,0.28
555,Trinidad & Tobago,1971,0.16
556,Venezuela,1971,0.82
557,Central America,1971,0.20
558,Other Caribbean,1971,1.06
559,Other South America,1971,0.20
560,Austria,1971,0.91
561,Belgium,1971,1.91
562,Bulgaria,1971,0.78
563,Croatia,1971,-
564,Cyprus,1971,0.03
565,Czech Republic,1971,1.99
566,Denmark,1971,0.83
567,Estonia,1971,-
568,Finland,1971,0.67
569,France,1971,6.75
570,Germany,1971,13.12
571,Greece,1971,0.50
572,Hungary,1971,0.80
573,Iceland,1971,0.04
574,Ireland,1971,0.28
575,Italy,1971,5.31
576,Latvia,1971,-
577,Lithuania,1971,-
578,Luxembourg,1971,0.17
579,Netherlands,1971,2.50
580,North Macedonia,1971,-
581,Norway,1971,1.05
582,Poland,1971,3.67
583,Portugal,1971,0.30
584,Romania,1971,1.65
585,Slovakia,1971,0.55
586,Slovenia,1971,-
587,Spain,1971,2.10
588,Sweden,1971,1.78
589,Switzerland,1971,0.92
590,Turkey,1971,0.58
591,Ukraine,1971,-
592,United Kingdom,1971,9.01
593,Other Europe,1971,1.08
594,Azerbaijan,1971,-
595,Belarus,1971,-
596,Kazakhstan,1971,-
597,Russian Federation,1971,-
598,Turkmenistan,1971,-
599,Uzbekistan,1971,-
600,Other CIS,1971,-
601,Iran,1971,0.65
602,Iraq,1971,0.15
603,Israel,1971,0.26
604,Kuwait,1971,0.26
605,Oman,1971,0.06
606,Qatar,1971,0.04
607,Saudi Arabia,1971,0.95
608,United Arab Emirates,1971,0.05
609,Other Middle East,1971,0.30
610,Algeria,1971,0.14
611,Egypt,1971,0.34
612,Morocco,1971,0.12
613,South Africa,1971,1.63
614,Eastern Africa,1971,0.56
615,Middle Africa,1971,0.18
616,Western Africa,1971,0.34
617,Other Northern Africa,1971,0.11
618,Other Southern Africa,1971,0.01
619,Australia,1971,2.16
620,Bangladesh,1971,0.05
621,China,1971,10.08
622,China Hong Kong SAR,1971,0.17
623,India,1971,2.86
624,Indonesia,1971,0.37
625,Japan,1971,12.54
626,Malaysia,1971,0.18
627,New Zealand,1971,0.40
628,Pakistan,1971,0.35
629,Philippines,1971,0.38
630,Singapore,1971,0.27
631,South Korea,1971,0.65
632,Sri Lanka,1971,0.07
633,Taiwan,1971,0.49
634,Thailand,1971,0.27
635,Vietnam,1971,0.29
636,Other Asia Pacific,1971,1.09
637,Canada,1972,7.47
638,Mexico,1972,1.69
639,United States of America,1972,70.25
640,Argentina,1972,1.37
641,Brazil,1972,2.03
642,Chile,1972,0.36
643,Colombia,1972,0.48
644,Ecuador,1972,0.06
645,Peru,1972,0.25
646,Trinidad & Tobago,1972,0.22
647,Venezuela,1972,0.87
648,Central America,1972,0.22
649,Other Caribbean,1972,1.13
650,Other South America,1972,0.20
651,Austria,1972,0.94
652,Belgium,1972,2.03
653,Bulgaria,1972,0.81
654,Croatia,1972,-
655,Cyprus,1972,0.04
656,Czech Republic,1972,2.00
657,Denmark,1972,0.87
658,Estonia,1972,-
659,Finland,1972,0.71
660,France,1972,7.21
661,Germany,1972,13.57
662,Greece,1972,0.56
663,Hungary,1972,0.82
664,Iceland,1972,0.04
665,Ireland,1972,0.30
666,Italy,1972,5.57
667,Latvia,1972,-
668,Lithuania,1972,-
669,Luxembourg,1972,0.17
670,Netherlands,1972,2.91
671,North Macedonia,1972,-
672,Norway,1972,1.12
673,Poland,1972,3.87
674,Portugal,1972,0.33
675,Romania,1972,1.74
676,Slovakia,1972,0.58
677,Slovenia,1972,-
678,Spain,1972,2.27
679,Sweden,1972,1.84
680,Switzerland,1972,0.90
681,Turkey,1972,0.65
682,Ukraine,1972,-
683,United Kingdom,1972,9.15
684,Other Europe,1972,1.13
685,Azerbaijan,1972,-
686,Belarus,1972,-
687,Kazakhstan,1972,-
688,Russian Federation,1972,-
689,Turkmenistan,1972,-
690,Uzbekistan,1972,-
691,Other CIS,1972,-
692,Iran,1972,0.74
693,Iraq,1972,0.18
694,Israel,1972,0.25
695,Kuwait,1972,0.29
696,Oman,1972,0.06
697,Qatar,1972,0.05
698,Saudi Arabia,1972,1.02
699,United Arab Emirates,1972,0.06
700,Other Middle East,1972,0.30
701,Algeria,1972,0.16
702,Egypt,1972,0.38
703,Morocco,1972,0.13
704,South Africa,1972,1.69
705,Eastern Africa,1972,0.58
706,Middle Africa,1972,0.19
707,Western Africa,1972,0.37
708,Other Northern Africa,1972,0.13
709,Other Southern Africa,1972,0.01
710,Australia,1972,2.25
711,Bangladesh,1972,0.05
712,China,1972,10.87
713,China Hong Kong SAR,1972,0.20
714,India,1972,3.01
715,Indonesia,1972,0.39
716,Japan,1972,13.14
717,Malaysia,1972,0.20
718,New Zealand,1972,0.43
719,Pakistan,1972,0.32
720,Philippines,1972,0.37
721,Singapore,1972,0.34
722,South Korea,1972,0.68
723,Sri Lanka,1972,0.08
724,Taiwan,1972,0.52
725,Thailand,1972,0.33
726,Vietnam,1972,0.28
727,Other Asia Pacific,1972,1.15
728,Canada,1973,8.11
729,Mexico,1973,1.82
730,United States of America,1973,73.22
731,Argentina,1973,1.43
732,Brazil,1973,2.42
733,Chile,1973,0.35
734,Colombia,1973,0.48
735,Ecuador,1973,0.07
736,Peru,1973,0.29
737,Trinidad & Tobago,1973,0.22
738,Venezuela,1973,0.99
739,Central America,1973,0.24
740,Other Caribbean,1973,1.22
741,Other South America,1973,0.21
742,Austria,1973,1.01
743,Belgium,1973,2.05
744,Bulgaria,1973,0.84
745,Croatia,1973,-
746,Cyprus,1973,0.04
747,Czech Republic,1973,2.02
748,Denmark,1973,0.84
749,Estonia,1973,-
750,Finland,1973,0.78
751,France,1973,7.83
752,Germany,1973,14.35
753,Greece,1973,0.64
754,Hungary,1973,0.89
755,Iceland,1973,0.05
756,Ireland,1973,0.31
757,Italy,1973,5.82
758,Latvia,1973,-
759,Lithuania,1973,-
760,Luxembourg,1973,0.18
761,Netherlands,1973,3.09
762,North Macedonia,1973,-
763,Norway,1973,1.18
764,Poland,1973,3.94
765,Portugal,1973,0.37
766,Romania,1973,1.89
767,Slovakia,1973,0.60
768,Slovenia,1973,-
769,Spain,1973,2.48
770,Sweden,1973,1.94
771,Switzerland,1973,1.00
772,Turkey,1973,0.74
773,Ukraine,1973,-
774,United Kingdom,1973,9.60
775,Other Europe,1973,1.18
776,Azerbaijan,1973,-
777,Belarus,1973,-
778,Kazakhstan,1973,-
779,Russian Federation,1973,-
780,Turkmenistan,1973,-
781,Uzbekistan,1973,-
782,Other CIS,1973,-
783,Iran,1973,0.89
784,Iraq,1973,0.18
785,Israel,1973,0.26
786,Kuwait,1973,0.29
787,Oman,1973,0.06
788,Qatar,1973,0.06
789,Saudi Arabia,1973,1.08
790,United Arab Emirates,1973,0.07
791,Other Middle East,1973,0.35
792,Algeria,1973,0.19
793,Egypt,1973,0.35
794,Morocco,1973,0.14
795,South Africa,1973,1.82
796,Eastern Africa,1973,0.62
797,Middle Africa,1973,0.21
798,Western Africa,1973,0.42
799,Other Northern Africa,1973,0.17
800,Other Southern Africa,1973,0.01
801,Australia,1973,2.41
802,Bangladesh,1973,0.07
803,China,1973,11.47
804,China Hong Kong SAR,1973,0.21
805,India,1973,3.07
806,Indonesia,1973,0.44
807,Japan,1973,14.58
808,Malaysia,1973,0.21
809,New Zealand,1973,0.44
810,Pakistan,1973,0.34
811,Philippines,1973,0.44
812,Singapore,1973,0.32
813,South Korea,1973,0.84
814,Sri Lanka,1973,0.08
815,Taiwan,1973,0.61
816,Thailand,1973,0.35
817,Vietnam,1973,0.30
818,Other Asia Pacific,1973,1.19
819,Canada,1974,8.36
820,Mexico,1974,2.01
821,United States of America,1974,71.43
822,Argentina,1974,1.48
823,Brazil,1974,2.65
824,Chile,1974,0.35
825,Colombia,1974,0.54
826,Ecuador,1974,0.08
827,Peru,1974,0.33
828,Trinidad & Tobago,1974,0.21
829,Venezuela,1974,1.03
830,Central America,1974,0.25
831,Other Caribbean,1974,1.21
832,Other South America,1974,0.21
833,Austria,1974,1.02
834,Belgium,1974,1.98
835,Bulgaria,1974,0.86
836,Croatia,1974,-
837,Cyprus,1974,0.04
838,Czech Republic,1974,2.04
839,Denmark,1974,0.77
840,Estonia,1974,-
841,Finland,1974,0.75
842,France,1974,7.69
843,Germany,1974,14.10
844,Greece,1974,0.63
845,Hungary,1974,0.92
846,Iceland,1974,0.05
847,Ireland,1974,0.32
848,Italy,1974,5.82
849,Latvia,1974,-
850,Lithuania,1974,-
851,Luxembourg,1974,0.18
852,Netherlands,1974,2.94
853,North Macedonia,1974,-
854,Norway,1974,1.19
855,Poland,1974,4.07
856,Portugal,1974,0.38
857,Romania,1974,1.91
858,Slovakia,1974,0.63
859,Slovenia,1974,-
860,Spain,1974,2.58
861,Sweden,1974,1.80
862,Switzerland,1974,0.96
863,Turkey,1974,0.75
864,Ukraine,1974,-
865,United Kingdom,1974,9.12
866,Other Europe,1974,1.31
867,Azerbaijan,1974,-
868,Belarus,1974,-
869,Kazakhstan,1974,-
870,Russian Federation,1974,-
871,Turkmenistan,1974,-
872,Uzbekistan,1974,-
873,Other CIS,1974,-
874,Iran,1974,1.01
875,Iraq,1974,0.17
876,Israel,1974,0.26
877,Kuwait,1974,0.28
878,Oman,1974,0.05
879,Qatar,1974,0.06
880,Saudi Arabia,1974,1.15
881,United Arab Emirates,1974,0.08
882,Other Middle East,1974,0.40
883,Algeria,1974,0.21
884,Egypt,1974,0.40
885,Morocco,1974,0.15
886,South Africa,1974,1.87
887,Eastern Africa,1974,0.64
888,Middle Africa,1974,0.22
889,Western Africa,1974,0.44
890,Other Northern Africa,1974,0.19
891,Other Southern Africa,1974,0.01
892,Australia,1974,2.56
893,Bangladesh,1974,0.07
894,China,1974,11.83
895,China Hong Kong SAR,1974,0.21
896,India,1974,3.25
897,Indonesia,1974,0.47
898,Japan,1974,14.65
899,Malaysia,1974,0.21
900,New Zealand,1974,0.45
901,Pakistan,1974,0.37
902,Philippines,1974,0.41
903,Singapore,1974,0.32
904,South Korea,1974,0.87
905,Sri Lanka,1974,0.07
906,Taiwan,1974,0.58
907,Thailand,1974,0.36
908,Vietnam,1974,0.22
909,Other Asia Pacific,1974,1.27
910,Canada,1975,8.24
911,Mexico,1975,2.14
912,United States of America,1975,69.55
913,Argentina,1975,1.45
914,Brazil,1975,2.80
915,Chile,1975,0.31
916,Colombia,1975,0.55
917,Ecuador,1975,0.08
918,Peru,1975,0.34
919,Trinidad & Tobago,1975,0.17
920,Venezuela,1975,1.07
921,Central America,1975,0.28
922,Other Caribbean,1975,1.18
923,Other South America,1975,0.23
924,Austria,1975,1.01
925,Belgium,1975,1.86
926,Bulgaria,1975,0.96
927,Croatia,1975,-
928,Cyprus,1975,0.03
929,Czech Republic,1975,2.12
930,Denmark,1975,0.76
931,Estonia,1975,-
932,Finland,1975,0.76
933,France,1975,7.25
934,Germany,1975,13.55
935,Greece,1975,0.71
936,Hungary,1975,0.97
937,Iceland,1975,0.05
938,Ireland,1975,0.30
939,Italy,1975,5.69
940,Latvia,1975,-
941,Lithuania,1975,-
942,Luxembourg,1975,0.15
943,Netherlands,1975,2.96
944,North Macedonia,1975,-
945,Norway,1975,1.21
946,Poland,1975,4.39
947,Portugal,1975,0.38
948,Romania,1975,2.08
949,Slovakia,1975,0.66
950,Slovenia,1975,-
951,Spain,1975,2.65
952,Sweden,1975,1.91
953,Switzerland,1975,0.99
954,Turkey,1975,0.84
955,Ukraine,1975,-
956,United Kingdom,1975,8.60
957,Other Europe,1975,1.32
958,Azerbaijan,1975,-
959,Belarus,1975,-
960,Kazakhstan,1975,-
961,Russian Federation,1975,-
962,Turkmenistan,1975,-
963,Uzbekistan,1975,-
964,Other CIS,1975,-
965,Iran,1975,1.17
966,Iraq,1975,0.19
967,Israel,1975,0.27
968,Kuwait,1975,0.25
969,Oman,1975,0.05
970,Qatar,1975,0.08
971,Saudi Arabia,1975,0.91
972,United Arab Emirates,1975,0.09
973,Other Middle East,1975,0.42
